year,us_mean_income_per_adult_usd,us_bottom50_avg_income_usd,ssa_mean_income_per_adult_usd,multiple_us_mean_over_ssa_mean,multiple_us_bottom50_over_ssa_mean
1950,27515.84,5252.00,1495.74,18.3962,3.5113
1951,29368.25,5433.60,1569.00,18.7178,3.4631
1952,30232.72,5770.40,1611.12,18.7650,3.5816
1953,31188.40,6090.70,1647.75,18.9279,3.6964
1954,30893.60,5757.10,1714.48,18.0192,3.3579
1955,32664.35,6190.60,1757.91,18.5814,3.5216
1956,32910.22,6409.10,1785.99,18.4269,3.5885
1957,33114.38,6433.80,1812.90,18.2660,3.5489
1958,32768.40,6036.50,1795.72,18.2481,3.3616
1959,34802.49,6357.60,1843.08,18.8828,3.4495
1960,35299.09,7015.70,1894.34,18.6340,3.7035
1961,35854.82,6365.90,1850.32,19.3776,3.4404
1962,37549.26,7284.90,1957.09,19.1863,3.7223
1963,38735.73,7358.50,2059.94,18.8043,3.5722
1964,40519.54,7551.30,2103.03,19.2672,3.5907
1965,42585.58,8137.00,2160.94,19.7069,3.7655
1966,44504.82,8741.90,2172.91,20.4817,4.0231
1967,44784.56,9332.30,2124.92,21.0759,4.3918
1968,45971.66,9545.00,2149.47,21.3875,4.4406
1969,46304.13,9944.10,2292.42,20.1988,4.3378
1970,45232.04,9536.60,2392.78,18.9036,3.9856
1971,45991.92,9348.50,2477.74,18.5620,3.7730
1972,47517.90,9581.20,2494.41,19.0498,3.8411
1973,48836.32,10027.50,2539.55,19.2303,3.9485
1974,47220.97,9949.00,2579.83,18.3039,3.8565
1975,46217.54,9372.10,2543.33,18.1721,3.6850
1976,47768.19,9758.00,2543.63,18.7795,3.8362
1977,49026.87,9881.60,2517.44,19.4749,3.9253
1978,50490.22,10209.10,2448.77,20.6186,4.1691
1979,50737.97,10334.10,2424.71,20.9254,4.2620
1980,49601.59,9891.40,2439.86,20.3297,4.0541
1981,49646.63,9744.40,2430.61,20.4256,4.0090
1982,48013.56,9072.50,2352.13,20.4128,3.8571
1983,49723.45,8959.40,2271.02,21.8947,3.9451
1984,52413.93,9358.60,2280.99,22.9786,4.1029
1985,53431.73,9536.20,2221.05,24.0569,4.2936
1986,54510.84,9594.50,2225.78,24.4907,4.3106
1987,55851.35,9676.60,2248.09,24.8439,4.3044
1988,57523.08,9708.90,2233.07,25.7596,4.3478
1989,58982.77,10018.00,2254.23,26.1653,4.4441
1990,59263.34,9988.70,2247.25,26.3715,4.4449
1991,58492.59,9779.60,2239.52,26.1184,4.3668
1992,59915.22,9629.70,2182.46,27.4531,4.4123
1993,61063.16,9864.80,2178.84,28.0255,4.5275
1994,62806.47,10217.70,2114.45,29.7035,4.8323
1995,64125.20,10121.30,2128.33,30.1294,4.7555
1996,66074.80,10249.20,2201.01,30.0202,4.6566
1997,68268.57,10446.70,2230.36,30.6087,4.6839
1998,70479.59,10838.10,2263.33,31.1398,4.7886
1999,73023.86,11127.60,2242.73,32.5603,4.9616
2000,74919.62,11381.30,2266.51,33.0551,5.0215
2001,74643.12,11493.20,2291.18,32.5785,5.0163
2002,75039.47,11593.90,2348.74,31.9488,4.9362
2003,76312.98,11549.70,2392.28,31.8996,4.8279
2004,78223.01,11630.30,2452.50,31.8952,4.7422
2005,79901.35,11501.30,2535.33,31.5152,4.5364
2006,80608.06,11451.00,2609.25,30.8932,4.3886
2007,81171.45,11729.50,2679.22,30.2966,4.3779
2008,80147.01,11550.70,2666.55,30.0564,4.3317
2009,77260.47,10971.80,2672.09,28.9139,4.1061
2010,78748.50,10933.00,2724.07,28.9084,4.0135
2011,79284.05,10766.00,2778.37,28.5362,3.8749
2012,79856.42,10571.70,2898.82,27.5479,3.6469
2013,80585.35,10891.30,2952.38,27.2951,3.6890
2014,81541.28,10771.20,3050.77,26.7281,3.5306
2015,82818.40,11021.80,3066.49,27.0076,3.5943
2016,83392.56,10829.90,3037.56,27.4538,3.5653
2017,84735.20,11462.00,3032.83,27.9393,3.7793
2018,85890.68,11545.70,3033.21,28.3168,3.8064
2019,86126.43,11871.30,3033.80,28.3889,3.9130
2020,83815.76,11457.20,2908.65,28.8160,3.9390
2021,87467.12,11875.00,2945.49,29.6953,4.0316
2022,88729.08,11891.60,2951.74,30.0599,4.0287
2023,90432.25,12189.10,2960.21,30.5493,4.1177
2024,91481.78,12356.30,2934.17,31.1781,4.2112
