year,beta
1800,3.468700
1801,3.511900
1802,3.615600
1803,3.634200
1804,3.705000
1805,3.749200
1806,3.807800
1807,3.833500
1808,3.832400
1809,3.849100
1810,3.889900
1811,3.963100
1812,4.009800
1813,4.023200
1814,4.047400
1815,4.041600
1816,3.987500
1817,3.924700
1818,3.904000
1819,3.908700
1820,3.909200
1821,3.922600
1822,3.933000
1823,3.930100
1824,3.949200
1825,3.972200
1826,4.006300
1827,4.020200
1828,4.045700
1829,4.063000
1830,4.078700
1831,4.102800
1832,4.123700
1833,4.150600
1834,4.174200
1835,4.193300
1836,4.196100
1837,4.195800
1838,4.222300
1839,4.252100
1840,4.265500
1841,4.290900
1842,4.319500
1843,4.362500
1844,4.375500
1845,4.385300
1846,4.385500
1847,4.388100
1848,4.425200
1849,4.442500
1850,4.443800
1851,4.444900
1852,4.426800
1853,4.409800
1854,4.388900
1855,4.385700
1856,4.393500
1857,4.390900
1858,4.401400
1859,4.412700
1860,4.406100
1861,4.402500
1862,4.420400
1863,4.421700
1864,4.396600
1865,4.381300
1866,4.365700
1867,4.340800
1868,4.316900
1869,4.324500
1870,4.337800
1871,4.327400
1872,4.319300
1873,4.302100
1874,4.282400
1875,4.249300
1876,4.253300
1877,4.282200
1878,4.302800
1879,4.354600
1880,4.638500
1881,4.426900
1882,4.444500
1883,4.452000
1884,4.447800
1885,4.444400
1886,4.454300
1887,4.465300
1888,4.471600
1889,4.469900
1890,4.476100
1891,4.478500
1892,4.492300
1893,4.488000
1894,4.444900
1895,4.476100
1896,4.470200
1897,4.486200
1898,4.533200
1899,4.571600
1900,5.419200
1901,4.651200
1902,4.681700
1903,4.704900
1904,4.719100
1905,4.747100
1906,4.766200
1907,4.786400
1908,4.789000
1909,4.806700
1910,5.282400
1911,4.808200
1912,4.811800
1913,5.027700
1914,5.645700
1915,5.939400
1916,5.327300
1917,4.578900
1918,3.814400
1919,3.905800
1920,3.540400
1921,4.358900
1922,4.550600
1923,4.073800
1924,4.221500
1925,4.375100
1926,4.324200
1927,4.704300
1928,5.269500
1929,5.204300
1930,5.331500
1931,5.207900
1932,5.547400
1933,6.038000
1934,5.532700
1935,5.265500
1936,5.430500
1937,4.939400
1938,5.146600
1939,4.956600
1940,4.573400
1941,3.640500
1942,2.855200
1943,2.494300
1944,2.637300
1945,2.536400
1946,2.551400
1947,2.727900
1948,2.725600
1949,2.914400
1950,2.798900
1951,2.691900
1952,2.697400
1953,2.599100
1954,2.716000
1955,2.690000
1956,2.757000
1957,2.761500
1958,2.898300
1959,2.845500
1960,3.284300
1961,3.766600
1962,3.708500
1963,3.658500
1964,3.621000
1965,3.609300
1966,3.481100
1967,3.541300
1968,3.618200
1969,3.566500
1970,3.505800
1971,3.500600
1972,3.581300
1973,3.530300
1974,3.444200
1975,3.437000
1976,3.438600
1977,3.418100
1978,3.372600
1979,3.492500
1980,3.804600
1981,3.808800
1982,3.973300
1983,3.867000
1984,3.677800
1985,3.723600
1986,3.881900
1987,3.922800
1988,3.887700
1989,3.915000
1990,3.871000
1991,3.904200
1992,3.806400
1993,3.746000
1994,3.673000
1995,3.751000
1996,3.892900
1997,4.104300
1998,4.412600
1999,4.688400
2000,4.740300
2001,4.722200
2002,4.569100
2003,4.574700
2004,4.841600
2005,5.088600
2006,5.310200
2007,5.339600
2008,4.771800
2009,4.312900
2010,4.173700
2011,4.106300
2012,4.094400
2013,4.369300
2014,4.638900
2015,4.703800
2016,4.782200
2017,5.010000
2018,5.013700
2019,5.156400
2020,6.007400
2021,6.221900
2022,6.006400
2023,5.763800
2024,5.763800
